"Tabela 202 - População residente, por sexo e situação do domicílio"
"Variável - População residente - percentual do total geral"
"Cód.","Município","Situação do domicílio","Ano x Sexo"
"Cód.","Município","Situação do domicílio","2000","2010"
"Cód.","Município","Situação do domicílio","Total","Total"
"1714880","Nova Olinda (TO)","Urbana","65.30","69.86"
"1715002","Nova Rosalândia (TO)","Urbana","76.33","65.46"
"1715101","Novo Acordo (TO)","Urbana","64.38","81.95"
"1715150","Novo Alegre (TO)","Urbana","79.42","74.32"
"1715259","Novo Jardim (TO)","Urbana","63.83","72.28"
"1715507","Oliveira de Fátima (TO)","Urbana","72.86","78.78"
"1715705","Palmeirante (TO)","Urbana","36.07","38.88"
"1715754","Palmeirópolis (TO)","Urbana","78.47","81.50"
"1716109","Paraíso do Tocantins (TO)","Urbana","95.15","95.62"
"1716208","Paranã (TO)","Urbana","27.20","45.66"
"1716307","Pau D'Arco (TO)","Urbana","63.60","63.21"
"1716505","Pedro Afonso (TO)","Urbana","81.17","86.80"
"1716604","Peixe (TO)","Urbana","41.90","50.41"
"1716653","Pequizeiro (TO)","Urbana","49.95","47.29"
"1716703","Colméia (TO)","Urbana","67.99","73.98"
"1717008","Pindorama do Tocantins (TO)","Urbana","49.61","65.40"
"1717206","Piraquê (TO)","Urbana","49.96","38.42"
"1717503","Pium (TO)","Urbana","57.65","56.45"
"1717800","Ponte Alta do Bom Jesus (TO)","Urbana","53.87","55.04"
"1717909","Ponte Alta do Tocantins (TO)","Urbana","53.08","63.05"
"1718006","Porto Alegre do Tocantins (TO)","Urbana","57.58","68.63"
"1718204","Porto Nacional (TO)","Urbana","86.16","86.34"
"1718303","Praia Norte (TO)","Urbana","51.25","58.34"
"1718402","Presidente Kennedy (TO)","Urbana","82.97","87.67"
"1718451","Pugmil (TO)","Urbana","78.73","84.59"
"1718501","Recursolândia (TO)","Urbana","40.03","52.81"
"1718550","Riachinho (TO)","Urbana","42.70","43.24"
"1718659","Rio da Conceição (TO)","Urbana","83.94","91.83"
"1718709","Rio dos Bois (TO)","Urbana","50.68","40.04"
"1718758","Rio Sono (TO)","Urbana","30.73","38.49"
"1718808","Sampaio (TO)","Urbana","81.72","90.99"
"1718840","Sandolândia (TO)","Urbana","42.47","53.04"
